age	distance	disease
old	242	0
old	107	0
old	30	1
old	103	1
old	239	0
old	28	0
old	204	1
old	45	1
old	294	1
old	114	0
old	58	1
old	112	1
old	268	0
old	170	0
old	281	0
old	202	1
old	82	1
old	208	1
old	66	1
old	63	1
old	38	1
old	113	1
old	101	1
old	32	0
old	261	0
old	263	0
old	252	0
old	106	0
old	24	1
old	108	1
old	296	1
old	125	1
old	279	0
old	51	1
old	300	0
old	210	1
old	151	0
old	43	1
old	145	1
old	16	1
old	190	1
old	176	1
old	23	1
old	152	0
old	267	0
old	53	1
old	159	0
old	36	1
old	215	0
old	157	0
middleage	147	0
middleage	165	0
middleage	239	0
middleage	77	0
middleage	21	0
middleage	86	0
middleage	167	0
middleage	16	0
middleage	170	0
middleage	22	0
middleage	57	0
middleage	63	0
middleage	107	0
middleage	237	0
middleage	282	0
middleage	280	0
middleage	214	0
middleage	134	0
middleage	179	0
middleage	281	0
middleage	241	1
middleage	279	0
middleage	256	0
middleage	260	0
middleage	223	0
middleage	289	0
middleage	295	0
middleage	271	0
middleage	126	0
middleage	167	0
middleage	231	0
middleage	66	0
middleage	262	0
middleage	153	0
middleage	37	0
middleage	122	0
middleage	86	1
middleage	292	0
middleage	256	0
middleage	11	1
middleage	41	0
middleage	141	0
middleage	71	0
middleage	82	1
middleage	87	1
middleage	37	0
middleage	111	0
middleage	149	0
middleage	99	0
middleage	243	0
young	177	0
young	153	0
young	43	1
young	107	1
young	262	0
young	84	0
young	250	0
young	55	1
young	225	0
young	275	0
young	87	0
young	210	0
young	258	0
young	170	1
young	50	1
young	229	0
young	142	0
young	295	0
young	175	0
young	41	1
young	282	0
young	224	0
young	175	0
young	230	0
young	83	1
young	119	1
young	295	1
young	274	0
young	198	0
young	62	1
young	23	1
young	61	1
young	66	0
young	135	1
young	200	0
young	214	0
young	285	0
young	75	0
young	104	1
young	62	0
young	151	1
young	128	1
young	273	0
young	14	1
young	242	0
young	272	0
young	144	0
young	276	0
young	177	0
young	269	0
old	271	NA
old	47	NA
old	128	NA
old	205	NA
old	33	NA
old	202	NA
old	49	NA
old	85	NA
old	272	NA
old	216	NA
old	259	NA
old	227	NA
old	81	NA
old	56	NA
old	94	NA
old	51	NA
old	69	NA
old	79	NA
old	165	NA
old	249	NA
old	178	NA
old	113	NA
old	211	NA
old	198	NA
old	116	NA
old	15	NA
old	246	NA
old	256	NA
old	222	NA
old	219	NA
old	265	NA
old	48	NA
old	75	NA
old	243	NA
old	204	NA
old	271	NA
old	195	NA
old	148	NA
old	109	NA
old	11	NA
old	121	NA
old	296	NA
old	252	NA
old	288	NA
old	146	NA
old	221	NA
old	161	NA
old	289	NA
old	23	NA
old	199	NA
old	206	NA
old	145	NA
old	266	NA
old	76	NA
old	119	NA
old	272	NA
old	108	NA
old	210	NA
old	290	NA
old	65	NA
old	105	NA
old	147	NA
old	229	NA
old	110	NA
old	206	NA
old	148	NA
old	136	NA
old	24	NA
old	93	NA
old	242	NA
old	162	NA
old	24	NA
old	108	NA
old	210	NA
old	191	NA
old	12	NA
old	206	NA
old	140	NA
old	280	NA
old	226	NA
old	19	NA
old	197	NA
old	117	NA
old	198	NA
old	289	NA
old	43	NA
old	63	NA
old	117	NA
old	238	NA
old	223	NA
old	137	NA
old	65	NA
old	169	NA
old	210	NA
old	256	NA
old	294	NA
old	85	NA
old	187	NA
old	234	NA
old	64	NA
old	283	NA
old	251	NA
old	206	NA
old	289	NA
old	245	NA
old	115	NA
old	69	NA
old	101	NA
old	66	NA
old	254	NA
old	11	NA
old	153	NA
old	260	NA
old	105	NA
old	273	NA
old	214	NA
old	223	NA
old	230	NA
old	295	NA
old	45	NA
old	43	NA
old	64	NA
old	98	NA
old	135	NA
old	243	NA
old	64	NA
old	97	NA
old	82	NA
old	20	NA
old	289	NA
old	277	NA
old	245	NA
old	83	NA
old	164	NA
old	142	NA
old	94	NA
old	112	NA
old	185	NA
old	148	NA
old	13	NA
old	39	NA
old	222	NA
old	214	NA
old	215	NA
old	254	NA
old	37	NA
old	68	NA
old	284	NA
old	60	NA
old	34	NA
old	119	NA
old	110	NA
old	169	NA
old	207	NA
old	293	NA
old	273	NA
old	80	NA
old	52	NA
old	277	NA
old	142	NA
old	104	NA
old	122	NA
old	181	NA
old	190	NA
old	119	NA
old	31	NA
old	272	NA
old	114	NA
old	152	NA
old	78	NA
old	42	NA
old	193	NA
old	291	NA
old	86	NA
old	196	NA
old	71	NA
old	33	NA
old	51	NA
old	140	NA
old	138	NA
old	271	NA
old	185	NA
old	123	NA
old	55	NA
old	260	NA
old	122	NA
old	108	NA
old	93	NA
old	10	NA
old	70	NA
old	60	NA
old	227	NA
old	222	NA
old	26	NA
old	218	NA
old	78	NA
old	90	NA
old	132	NA
old	270	NA
old	109	NA
old	98	NA
old	289	NA
old	89	NA
old	42	NA
old	279	NA
old	46	NA
old	112	NA
old	94	NA
old	236	NA
old	160	NA
old	76	NA
old	162	NA
old	82	NA
old	145	NA
old	24	NA
old	109	NA
old	229	NA
old	13	NA
old	184	NA
old	101	NA
old	111	NA
old	84	NA
old	195	NA
old	41	NA
old	148	NA
old	224	NA
old	31	NA
old	157	NA
old	123	NA
old	216	NA
old	138	NA
old	99	NA
old	283	NA
old	99	NA
old	151	NA
old	165	NA
old	174	NA
old	223	NA
old	249	NA
old	146	NA
old	113	NA
old	200	NA
old	105	NA
old	101	NA
old	250	NA
old	133	NA
old	218	NA
old	295	NA
old	245	NA
old	165	NA
old	287	NA
old	13	NA
old	41	NA
old	24	NA
old	183	NA
old	46	NA
old	12	NA
old	125	NA
old	65	NA
old	24	NA
old	246	NA
old	276	NA
old	162	NA
old	27	NA
old	160	NA
old	230	NA
old	227	NA
old	152	NA
old	121	NA
old	244	NA
old	184	NA
old	47	NA
old	12	NA
old	257	NA
old	95	NA
old	47	NA
old	43	NA
old	66	NA
old	122	NA
old	244	NA
old	195	NA
old	84	NA
old	83	NA
old	101	NA
old	290	NA
old	128	NA
old	39	NA
old	222	NA
old	98	NA
old	141	NA
old	168	NA
old	148	NA
old	178	NA
old	116	NA
old	69	NA
old	268	NA
old	43	NA
old	233	NA
old	285	NA
old	65	NA
old	228	NA
old	70	NA
old	68	NA
old	112	NA
old	44	NA
old	38	NA
old	13	NA
old	93	NA
old	91	NA
old	141	NA
old	213	NA
old	94	NA
old	245	NA
old	20	NA
old	31	NA
