cells	ca	doseamt	doserate
47800	25	1.0	0.10
190700	102	1.0	0.25
225800	149	1.0	0.50
232900	160	1.0	1.00
123800	75	1.0	1.50
149100	100	1.0	2.00
151800	99	1.0	2.50
76400	50	1.0	3.00
136700	100	1.0	4.00
32800	52	2.5	0.10
18500	51	2.5	0.25
34200	100	2.5	0.50
31000	100	2.5	1.00
27800	107	2.5	1.50
25900	107	2.5	2.00
24900	102	2.5	2.50
29800	110	2.5	3.00
24300	107	2.5	4.00
21000	100	5.0	0.10
13800	113	5.0	0.25
16000	144	5.0	0.50
12000	106	5.0	1.00
9000	111	5.0	1.50
10000	132	5.0	2.00
31300	419	5.0	2.50
18200	225	5.0	3.00
14400	206	5.0	4.00
