age	gender	flavor	rating
33	female	light	40
32	female	dark	87
49	female	medium	86
39	male	light	36
41	male	light	38
39	male	light	34
43	female	medium	78
30	female	light	36
30	female	medium	73
45	female	light	53
41	female	light	48
31	female	light	40
33	male	light	28
40	female	medium	82
47	female	light	53
42	female	light	51
26	male	dark	81
33	male	medium	64
42	female	medium	82
46	female	light	48
30	female	medium	68
47	female	medium	86
42	male	dark	88
47	female	dark	93
53	male	light	43
45	male	medium	77
42	female	medium	78
37	male	dark	89
58	male	dark	96
48	female	light	56
51	female	dark	99
36	male	dark	85
26	male	dark	77
46	female	light	54
30	female	light	39
26	male	medium	51
42	female	dark	95
39	male	medium	66
42	female	light	50
44	female	light	53
53	female	medium	87
41	male	medium	67
33	female	medium	74
46	female	medium	79
31	male	medium	55
41	female	medium	77
23	male	medium	51
39	female	light	50
36	female	medium	74
37	female	light	40
44	female	medium	82
43	male	medium	65
46	female	medium	83
43	female	light	55
44	male	dark	89
41	male	medium	73
30	female	medium	72
40	female	light	47
36	female	medium	77
42	female	medium	78
40	female	medium	75
53	female	light	53
30	female	dark	89
39	female	dark	95
50	female	light	48
37	male	medium	65
30	female	medium	71
39	female	medium	78
42	female	medium	84
52	female	medium	82
41	male	medium	68
56	female	medium	84
38	male	medium	69
37	female	light	40
42	female	light	51
40	female	medium	81
51	female	light	56
41	male	light	37
35	male	dark	86
32	female	medium	75
43	male	dark	87
39	female	medium	74
42	female	medium	77
32	male	light	32
43	female	medium	80
46	female	medium	80
37	male	medium	66
42	female	light	48
38	male	dark	81
44	female	medium	82
33	female	medium	74
48	female	medium	83
24	female	medium	67
35	male	light	32
50	male	light	36
46	female	light	51
39	female	light	42
41	female	dark	92
58	female	light	58
32	female	medium	69
46	female	medium	77
48	female	dark	94
39	female	medium	77
39	female	medium	74
44	male	medium	72
33	male	light	28
39	female	light	51
34	female	dark	98
49	female	dark	98
42	female	light	54
42	female	dark	94
42	female	light	41
38	female	light	47
55	male	light	44
36	female	medium	72
36	female	light	47
50	male	light	38
33	female	light	38
32	female	dark	91
47	female	dark	93
48	female	light	54
37	female	light	44
41	female	medium	74
47	female	dark	97
44	male	light	34
37	male	medium	63
32	female	medium	75
47	female	medium	86
43	female	light	47
40	female	medium	77
28	male	dark	87
40	female	dark	92
40	male	light	38
41	male	dark	88
31	female	light	45
36	female	light	46
50	female	light	54
54	female	light	56
46	female	medium	83
34	female	light	40
42	male	light	34
42	female	medium	74
40	male	light	34
38	female	medium	75
52	male	light	45
45	female	medium	82
37	female	light	44
47	female	dark	97
31	female	light	45
51	male	medium	79
37	female	medium	74
50	female	medium	83
38	male	medium	64
39	male	dark	96
40	female	light	46
37	male	medium	66
31	female	medium	71
46	male	light	40
47	female	light	49
49	female	medium	82
40	male	light	36
44	female	light	52
46	female	medium	82
41	female	medium	75
48	female	medium	82
26	female	light	35
36	male	medium	63
38	male	medium	68
35	female	dark	89
33	female	dark	87
54	female	dark	95
55	male	medium	80
41	female	light	46
33	female	light	40
38	female	dark	90
32	female	light	39
35	male	medium	65
46	male	light	36
59	female	light	61
36	male	light	32
39	male	medium	65
35	male	light	31
30	female	light	37
60	female	medium	89
36	female	light	47
49	female	dark	97
47	female	medium	80
51	female	medium	82
46	female	medium	80
55	female	medium	82
38	male	dark	92
44	female	medium	79
48	male	dark	93
31	male	medium	60
43	male	medium	73
39	female	dark	91
45	male	dark	89
45	male	light	38
33	male	medium	63
40	female	dark	97
24	female	medium	67
27	male	dark	78
48	female	dark	91
36	female	medium	80
57	female	medium	88
44	female	dark	90
42	male	medium	66
41	male	medium	65
48	male	medium	74
48	female	light	55
38	female	dark	95
27	male	medium	58
42	female	dark	91
36	female	light	41
35	female	medium	73
38	male	medium	62
43	male	light	36
46	male	light	40
39	male	light	38
45	female	medium	85
61	female	light	63
39	male	light	37
51	female	medium	90
49	female	medium	83
42	female	medium	78
31	male	light	29
40	male	medium	68
41	male	light	34
43	female	light	48
47	female	light	48
40	female	dark	98
33	male	medium	64
44	female	light	47
48	female	light	55
44	female	medium	80
45	female	medium	79
35	male	dark	89
44	female	medium	79
42	female	medium	73
37	female	light	46
43	female	light	47
46	male	medium	76
35	female	light	43
50	male	dark	92
31	female	dark	91
47	female	medium	86
37	female	medium	70
47	female	light	50
