WoodType	BoardType	Deflection
Cherry	Stacked	144.3
Cherry	Stacked	125.9
Cherry	Stacked	263.2
Cherry	Stacked	114.6
Cherry	Stacked	242.5
Cherry	Stacked	141.9
Cherry	Stacked	76
Cherry	Stacked	86.5
Cherry	Stacked	139.6
Cherry	Stacked	147.1
Cherry	Stacked	22.7
Cherry	Stacked	158.9
Cherry	Stacked	103.8
Cherry	Stacked	51
Cherry	Stacked	37.2
Cherry	Stacked	57.8
Cherry	Stacked	394.5
Cherry	Stacked	20.4
Cherry	Stacked	189.9
Cherry	Stacked	123.1
Cherry	Stacked	178.9
Cherry	Stacked	28.4
Cherry	Stacked	66.6
Cherry	Stacked	55.4
Cherry	Stacked	164.1
Cherry	Stacked	158.6
Cherry	Stacked	107.8
Cherry	Stacked	134.3
Cherry	Stacked	60.5
Cherry	Stacked	84.8
Cherry	Stacked	236
Cherry	Stacked	83.2
Cherry	Stacked	54.2
Cherry	Stacked	99.7
Cherry	Stacked	54.7
Cherry	Stacked	105.8
Cherry	Stacked	176.2
Cherry	Stacked	101.5
Cherry	Stacked	65.4
Cherry	Stacked	120.5
Cherry	Stacked	60.5
Ash	Stacked	134.3
Ash	Stacked	112.2
Ash	Stacked	170.7
Ash	Stacked	87.1
Ash	Stacked	343.2
Ash	Stacked	46
Ash	Stacked	16.1
Ash	Stacked	84.6
Ash	Stacked	41.6
Ash	Stacked	106.2
Ash	Stacked	129.9
Ash	Stacked	211.3
Ash	Stacked	65.9
Ash	Stacked	108.6
Ash	Stacked	22
Ash	Stacked	121.5
Ash	Stacked	22.9
Ash	Stacked	266.9
Ash	Stacked	68.6
Ash	Stacked	66.3
Ash	Stacked	62.8
Ash	Stacked	51.6
Ash	Stacked	81.5
Ash	Stacked	99.5
Ash	Stacked	194.3
Ash	Stacked	120.7
Ash	Stacked	166.3
Ash	Stacked	128.6
Ash	Stacked	40.7
Ash	Stacked	75.8
Ash	Stacked	23
Ash	Stacked	140.2
Ash	Stacked	166.8
Ash	Stacked	139.7
Ash	Stacked	50.3
Ash	Stacked	48.1
Fir	Stacked	67.9
Fir	Stacked	160.2
Fir	Stacked	247.1
