strength	hardwood	pressure
196.60	2.00	400.00
197.70	2.00	500.00
199.80	2.00	650.00
198.40	2.00	400.00
199.60	2.00	500.00
200.60	2.00	650.00
196.00	2.00	400.00
196.00	2.00	500.00
199.40	2.00	650.00
198.60	2.00	400.00
200.40	2.00	500.00
200.90	2.00	650.00
198.50	4.00	400.00
196.00	4.00	500.00
198.40	4.00	650.00
197.50	4.00	400.00
198.70	4.00	500.00
199.60	4.00	650.00
197.20	4.00	400.00
196.90	4.00	500.00
197.60	4.00	650.00
198.10	4.00	400.00
198.00	4.00	500.00
199.00	4.00	650.00
197.50	8.00	400.00
195.60	8.00	500.00
197.40	8.00	650.00
197.60	8.00	400.00
197.00	8.00	500.00
198.50	8.00	650.00
196.60	8.00	400.00
196.20	8.00	500.00
198.10	8.00	650.00
198.40	8.00	400.00
197.80	8.00	500.00
199.80	8.00	650.00
