gender	rbGH	weightgain
1	1	274.99
1	1	289.67
1	1	346.40
1	1	344.32
1	1	364.63
1	2	478.62
1	2	399.14
1	2	512.03
1	2	400.74
1	2	369.48
1	3	276.32
1	3	318.32
1	3	310.48
1	3	352.29
1	3	377.58
1	4	391.45
1	4	351.85
1	4	299.05
1	4	288.55
1	4	259.10
1	5	405.58
1	5	318.63
1	5	291.58
1	5	311.40
1	5	297.80
1	6	264.89
1	6	308.36
1	6	338.21
1	6	352.18
1	6	376.36
2	1	153.96
2	1	153.92
2	1	181.88
2	1	132.75
2	1	117.50
2	2	190.02
2	2	253.14
2	2	176.91
2	2	227.31
2	2	237.62
2	3	111.37
2	3	139.92
2	3	166.74
2	3	140.66
2	3	141.31
2	4	120.05
2	4	127.68
2	4	145.49
2	4	172.93
2	4	193.85
2	5	118.60
2	5	153.60
2	5	130.52
2	5	159.76
2	5	172.52
2	6	149.38
2	6	143.54
2	6	124.30
2	6	164.93
2	6	177.85
