glucose	conc	diameter
yes	631000	21.2
yes	592000	21.5
yes	563000	21.3
yes	475000	21
yes	461000	21.5
yes	416000	21.3
yes	385000	20.3
yes	321000	22.7
yes	302000	21.5
yes	199000	22.2
yes	195000	22.6
yes	165000	22.5
yes	137000	23.3
yes	130000	23.5
yes	90000	23.4
yes	66000	23.6
yes	55000	23.9
yes	52000	23.6
yes	46000	23.6
yes	41000	24.5
yes	38000	24
yes	34000	25.4
yes	32000	24.6
yes	30000	24.9
yes	28000	24.9
yes	21000	24.4
yes	20000	25.9
yes	16000	25.5
yes	14500	25.7
yes	13500	25.9
yes	11600	25.7
yes	11000	26.3
no	630000	19.2
no	501000	19.5
no	332000	19.8
no	285000	21
no	201000	21
no	175000	21
no	129000	21.3
no	111000	20.5
no	78000	22.6
no	70000	22.7
no	69000	22.2
no	62000	22.7
no	35000	24
no	27000	23.6
no	24000	23.5
no	22000	23.3
no	14000	24.4
no	13000	24.3
no	11000	24.2
