PIGU	Year	Bay	ObservCond
0	2000	Uyak	Good
0	2001	Uyak	FairAverage
0	2002	Uyak	Good
1	2003	Uyak	ExcellentIdeal
0	2004	Uyak	Good
1	2005	Uyak	ExcellentIdeal
0	2000	Uyak	Good
0	2001	Uyak	FairAverage
0	2002	Uyak	Good
0	2003	Uyak	Good
0	2004	Uyak	Good
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
0	2001	Uyak	FairAverage
0	2002	Uyak	Good
1	2003	Uyak	Good
1	2004	Uyak	Good
1	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
0	2001	Uyak	FairAverage
1	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	FairAverage
1	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
0	2001	Uyak	FairAverage
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
0	2004	Uyak	FairAverage
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
0	2001	Uyak	FairAverage
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
0	2004	Uyak	Good
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
0	2001	Uyak	FairAverage
0	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
0	2004	Uyak	Good
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
1	2001	Uyak	FairAverage
1	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	Good
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
1	2001	Uyak	Good
1	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	FairAverage
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	FairAverage
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	FairAverage
0	2001	Uyak	Good
1	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	FairAverage
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	FairAverage
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	Good
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	Good
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	Good
0	2001	Uyak	Good
0	2002	Uyak	Good
1	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	Good
0	2001	Uyak	Good
1	2002	Uyak	Good
1	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	Good
0	2001	Uyak	Good
0	2002	Uyak	Good
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
1	2001	Uyak	Good
1	2002	Uyak	Good
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
0	2001	Uyak	Good
1	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
1	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
1	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
1	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
0	2001	Uyak	Good
1	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
0	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
1	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
1	2000	Uyak	ExcellentIdeal
1	2001	Uyak	Good
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
0	2004	Uyak	ExcellentIdeal
0	2005	Uyak	ExcellentIdeal
0	2000	Uyak	ExcellentIdeal
0	2001	Uyak	FairAverage
0	2002	Uyak	ExcellentIdeal
0	2003	Uyak	ExcellentIdeal
