Ashcontent	Salinity	Location
61.31	1	1
56.68	1	1
63.89	1	1
68.78	1	1
68.41	1	1
70.94	1	1
65.99	2	1
82.89	2	1
94.41	2	1
75.5	2	1
78.94	2	1
70.27	2	1
82.62	3	1
91.38	3	1
93.44	3	1
79.88	3	1
95.51	3	1
97.16	3	1
98.92	4	1
93.17	4	1
93.62	4	1
93.12	4	1
112.78	4	1
96.39	4	1
58.64	1	2
56.93	1	2
69.98	1	2
64.17	1	2
72.1	1	2
56.18	1	2
89.52	2	2
58.42	2	2
78.86	2	2
82.31	2	2
91.96	2	2
72.93	2	2
89.2	3	2
103.81	3	2
90.94	3	2
104.82	3	2
77.98	3	2
85.26	3	2
78.98	4	2
90.44	4	2
93.71	4	2
94.31	4	2
90.84	4	2
115.73	4	2
79.43	1	3
85.04	1	3
74.77	1	3
97.23	1	3
82.01	1	3
85.51	1	3
106.77	2	3
103.64	2	3
108.03	2	3
105.03	2	3
83.89	2	3
86.64	2	3
111.14	3	3
105.54	3	3
86.52	3	3
97.05	3	3
102.66	3	3
109.08	3	3
104.72	4	3
96.11	4	3
119.03	4	3
107.58	4	3
104.17	4	3
110.38	4	3
95.93	1	4
84.05	1	4
81.78	1	4
97.91	1	4
79.58	1	4
76.75	1	4
89.83	2	4
88.99	2	4
107.22	2	4
98.36	2	4
96.73	2	4
82.87	2	4
98.12	3	4
101.76	3	4
97.9	3	4
89.62	3	4
83.82	3	4
104.77	3	4
104.95	4	4
107.01	4	4
102.21	4	4
87.49	4	4
114.36	4	4
95.98	4	4
67.57	1	5
67.74	1	5
71.44	1	5
71.21	1	5
70.55	1	5
83.49	1	5
91.53	2	5
84.1	2	5
96.77	2	5
76.47	2	5
91.78	2	5
87.36	2	5
101.48	3	5
92.4	3	5
93.77	3	5
112.03	3	5
111.42	3	5
106.9	3	5
103.93	4	5
114.27	4	5
99.66	4	5
102.8	4	5
116.71	4	5
92.62	4	5
70.82	1	6
63.94	1	6
71.61	1	6
61.69	1	6
56.84	1	6
71.11	1	6
79.6	2	6
95.39	2	6
95.56	2	6
83.36	2	6
81.6	2	6
68.5	2	6
97.15	3	6
78.16	3	6
83	3	6
80.63	3	6
103.4	3	6
91.65	3	6
97.11	4	6
102.86	4	6
88.27	4	6
92.78	4	6
82.69	4	6
70.29	4	6
74.96	1	7
67.18	1	7
62.09	1	7
72.45	1	7
72.55	1	7
70.77	1	7
92.95	2	7
86.97	2	7
94.76	2	7
93.64	2	7
96.76	2	7
74.92	2	7
96.41	3	7
103.32	3	7
81.37	3	7
93.53	3	7
102.54	3	7
104.84	3	7
94.09	4	7
93.04	4	7
112.31	4	7
90.92	4	7
84	4	7
101.63	4	7
65.68	1	8
73.39	1	8
68.95	1	8
76.43	1	8
64.86	1	8
58.69	1	8
76.34	2	8
67.01	2	8
91.27	2	8
93.05	2	8
90.17	2	8
92.16	2	8
97.21	3	8
108.66	3	8
95.58	3	8
84.27	3	8
81.71	3	8
96.58	3	8
106.38	4	8
79.94	4	8
89.6	4	8
101.78	4	8
93.83	4	8
92.46	4	8
76.15	1	9
73.09	1	9
69.07	1	9
85.11	1	9
78.62	1	9
91.96	1	9
99.26	2	9
96.09	2	9
98.72	2	9
98.52	2	9
95.1	2	9
76.31	2	9
103.61	3	9
101.81	3	9
114.3	3	9
83.53	3	9
