 no x y coal
 1 1 14 10.21
 2 1 15  9.92
 3 1 16 11.17
 4 2  8 10.01
 5 2 10 11.15
 6 2 11 11.31
 7 2 12  9.92
 8 2 14 10.73
 9 2 15 10.82
10 2 16 10.14
11 3 17  9.97
12 3 16  9.93
13 3 15 11.65
14 3 14  9.46
15 3 13 12.50
16 3 12 11.05
17 3 11  9.41
18 3 10  9.91
19 3  9 10.82
20 3  8  8.23
21 3  7 10.39
22 3  6 10.41
23 3  5  9.76
24 3  4 10.93
25 4 20  9.79
26 4 19 10.74
27 4 18 11.21
28 4 17  9.70
29 4 16 10.27
30 4 15  8.96
31 4 14  9.35
32 4 13  9.63
33 4 12 10.11
34 4 11  9.37
35 4 10 10.17
36 4  9 11.75
37 4  8 11.04
38 4  7 11.11
39 4  6 10.82
40 4  5 11.10
41 4  4 10.94
42 4  3  9.64
43 4  2  9.29
44 4  1 10.59
45 5  1 10.43
46 5  2  8.75
47 5  3  9.52
48 5  4  9.53
49 5  5 10.80
50 5  6 17.61
51 5  7 10.96
52 5  8 10.28
53 5  9  9.78
54 5 10 10.55
55 5 11 11.21
56 5 12 11.46
57 5 13 10.82
58 5 14  9.78
59 5 15  9.88
60 5 16 10.21
61 5 17  9.84
62 5 18  9.89
63 5 19 12.80
64 5 20  9.06
65 5 21 10.39
66 6  1  9.32
67 6  2  8.96
68 6  3 10.06
69 6  4 10.61
70 6  5  8.86
71 6  6 10.87
72 6  7 10.83
73 6  8 13.07
74 6  9 11.00
75 6 10 11.61
76 6 11  9.93
77 6 12 10.41
78 6 13 10.12
79 6 14 10.38
80 6 15  8.90
81 6 16 11.09
82 6 17 10.29
83 6 18 10.34
84 6 19 10.03
85 6 20 10.70
86 6 21 10.65
87 7  2  8.27
88 7  3 12.65
89 7  4 10.27
90 7  5  9.48
91 7  7 10.09
92 7  8 10.47
93 7  9  9.79
94 7 10  9.16
95 7 11 10.70
96 7 12  8.45
97 7 13  9.40
98 7 14  9.79
99 7 15 10.18
100 7 16 10.63
101 7 17  9.84
102 7 18  8.20
103 7 19  9.36
104 7 20 11.21
105 7 21 10.36
106 7 22 11.62
107 8  2  8.14
108 8  3  9.63
109 8  4  9.59
110 8  5  9.22
111 8  6 13.06
112 8  7  8.69
113 8  8 11.58
114 8  9 10.19
115 8 10 10.04
116 8 11  9.27
117 8 12  8.90
118 8 13  9.48
119 8 14  8.91
120 8 15  9.34
121 8 16  8.82
122 8 17 10.01
123 8 18  9.82
124 8 19  8.57
125 8 20  8.98
126 8 21  9.58
127 8 22 10.91
128 9  4  9.82
129 9  5  9.61
130 9  6 11.41
131 9  7 11.17
132 9  8  9.46
133 9  9  9.15
134 9 10 11.19
135 9 11  9.28
136 9 12  8.07
137 9 13 10.99
138 9 14  9.22
139 9 15 10.56
140 9 16 10.18
141 9 17  9.01
142  9 18 10.06
143  9 19  9.01
144  9 20  9.27
145  9 21 10.66
146  9 22  8.76
147 10  4  7.81
148 10  5  8.20
149 10  6  9.96
150 10  7  9.39
151 10  8  8.54
152 10  9  8.15
153 10 10  8.10
154 10 11 10.13
155 10 12  7.96
156 10 13  9.92
157 10 14 11.43
158 10 15  9.06
159 10 16  9.34
160 10 17  7.68
161 10 18  8.58
162 10 19  9.04
163 10 20  8.19
164 10 21  8.92
165 10 22  8.89
166 10 23  8.59
167 11  6  9.15
168 11  7  9.56
169 11  8 10.87
170 11  9  9.20
171 11 10 11.30
172 11 11  8.61
173 11 12  7.00
174 11 13  7.85
175 11 16  8.61
176 11 17  9.25
177 11 18  8.89
178 11 19  7.28
179 11 20  7.88
180 11 21  7.80
181 11 22  9.10
182 11 23  9.00
183 12 11  8.78
184 12 12  7.90
185 12 13  8.21
186 12 17  7.83
187 12 18  8.64
188 12 19  9.58
189 12 20  7.61
190 12 21  7.84
191 12 22  7.62
192 12 23 11.86
193 13 17  9.14
194 13 18  7.04
195 13 19  9.69
196 13 20  8.20
197 13 21  9.03
198 13 22  9.65
199 13 23  8.91
200 14 18  8.81
201 14 19  9.96
202 14 20  8.77
203 14 21  8.60
204 14 23  9.99
205 15 17  7.63
206 15 18  7.95
207 15 19  9.91
208 16 17  9.07

