Table,Field,Description
peaks,,
peaks,peakid,Peak ID (primary key)
peaks,pkname,Foreign (common) name of the peak
peaks,pkname2,Local name of the peak
peaks,location,Location of the climbing area
peaks,heightm,Height (meters)
peaks,heightf,Height (feet)
peaks,himal,Mountain range or Himal (slightly broader than location)
peaks,region,Broad mountain regions grouping several Himals/ranges together
peaks,open,The peak is on the Nepal government’s approved list of peaks open to mountaineering expeditions (Y/N)
peaks,unlisted,The peak is not on any Nepal government list of approved peaks and thus is not legally open for mountaineering. The database contains several such peaks either because they were climbed illegally or were climbed long ago when mountaineering was less regulated. Unlisted peaks are included in the statistical reports and analyses. (Y/N)
peaks,trekking,The peak is on the Nepal government’s approved list of trekking peaks. Trekking peaks are not included in the statistical reports and analyses after the year they were listed (see trekyear). A few peaks such as Cholatse and Langshisa Ri that were once open have now been reclassified as trekking peaks. (Y/N)
peaks,trekyear,The year that the peak was added to the Nepal government’s list of trekking peaks
peaks,restrict,Peak restrictions
peaks,phost,"The international location of the peak (inside or outside of Nepal, or on the border)"
peaks,pstatus,Peak climbing status
peaks,pyear,First ascent year
peaks,pseason,First ascent season
peaks,pmonth,First ascent month
peaks,pday,First ascent day
peaks,pexpid,First ascent expedition ID (foreign key)
peaks,pcountry,First ascent country
peaks,psummiters,Frist ascent summiters
peaks,psmtnote,First ascent comments
exped,,
exped,expid,Expedition ID (primary key)
exped,peakid,Peak ID (foreign key)
exped,year,Year
exped,season,Season
exped,host,Host country
exped,route1,Climbing route 1
exped,route2,Climbing route 2
exped,route3,Climbing route 3
exped,route4,Climbing route 4
exped,nation,Principle nationality
exped,leaders,Leadership
exped,sponsor,Expedition sponsor / name
exped,success1,Success on route 1 (Y/N)
exped,success2,Success on route 2 (Y/N)
exped,success3,Success on route 3 (Y/N)
exped,success4,Success on route 4 (Y/N)
exped,ascent1,"The team ascent number(s) for this expedition. These numbers are not maintained for recent ascents of Ama Dablam, Cho Oyu, and Everest as they have lost their significance since many teams are now summiting together"
exped,ascent2,Ascent numbers for route 2
exped,ascent3,Ascent numbers for route 3
exped,ascent4,Ascent numbers for route 4
exped,claimed,The expedition’s claim of success has been disproved or is not generally recognized by the mountaineering community. Claimed successes are not counted as successes in the statistical reports and analyses. (Y/N)
exped,disputed,"The expedition’s claim of success is either unverified, has been disputed by another party (but the evidence is insufficient to not recognize the ascent), or is of a controversial style (such as using a helicopter during the ascent). In some cases, the ascent has been marked as disputed because the summit party disappeared and thus the ascent cannot be verified. Disputed successes are counted as successes in the statistical reports and analyses. (Y/N)"
exped,countries,Other countries
exped,approach,Approach march
exped,bcdate,Date arrived at base camp
exped,smtdate,The date that the expedition summited the peak the first time or reached its high point
exped,smttime,The time of day that the expedition summited the peak for the first time. The time is given in or converted to Nepal Standard Time (NST) when known. Chinese Standard Time (CST) is two hours and fifteen minutes (2:15) ahead of NST. Indian Standard Time (IST) is fifteen minutes (0:15) behind NST. This treatment of time is used for all time-based fields in the database.
exped,smtdays,Number of days from base camp to summit / high point (calculated)
exped,totdays,Total number of days from base camp to the termination of the expedition (calculated)
exped,termdate,Date terminated
exped,termreason,The primary reason that the expedition was terminated (there also may be other reasons as indicated in the termnote field)
exped,termnote,Termination details
exped,highpoint,Expedition high-point (meters)
exped,traverse,Traverse (Y/N)
exped,ski,"Skis or a snowboard was used during part of the descent of the peak by at least one member of the expedition (can be anywhere, not just from the summit) (Y/N)"
exped,parapente,"A parapente or hang-glider was used during part of the descent of the peak by at least one member of the expedition (can be anywhere, not just from the summit) (Y/N)"
exped,camps,Number of high camps above base camp (BC)
exped,rope,Amount of fixed rope (meters)
exped,totmembers,"The number of members on the expedition. For expeditions in Nepal, this is usually the number of foreign members listed on the permit or, in the case of Nepali expeditions, the number of members who are not hired. For expeditions in China (for which the permit total includes hired members), this number excludes hired members where known, except in a few cases of very large Chinese military expeditions, for which the number is inclusive of both hired and non-hired members."
exped,smtmembers,The number of members who summited the main peak. This excludes those expeditions marked as CLAIMED but does include those marked as DISPUTED.
exped,mdeaths,Number of member deaths
exped,tothired,The number of hired personnel who went above base camp or advanced base camp
exped,smthired,The number of hired members who summited the main peak. This excludes those expeditions marked as CLAIMED but does include those marked as DISPUTED.
exped,hdeaths,Number of hired personnel deaths
exped,nohired,"There were no hired personnel above base camp. This field is needed to indicate that a value of zero in the tothired field is a true zero, not missing data. (Y/N)"
exped,o2used,Oxygen was used by at least one member of the expedition (Y/N)
